cae --md5 basic
dma resource write: 0x140c087c, 0x0
dma resource write: 0x140c0888, 0x0
dma resource write: 0x140c088c, 0x0
dma resource write: 0x140c0890, 0x0
dma resource write: 0x140c0894, 0x0
dma resource write: 0x140c0898, 0x0
dma resource write: 0x140c089c, 0x0
dma resource write: 0x140c08a8, 0x0
dma resource write: 0x140c08ac, 0x0
dma resource write: 0x140c08b0, 0x0
dma resource write: 0x140c08b4, 0x0
dma resource write: 0x140c08b8, 0x0
dma resource write: 0x140c08bc, 0x0
dma resource write: 0x140c08c8, 0x0
dma resource write: 0x140c08cc, 0x0
dma resource write: 0x140c08d0, 0x0
dma resource write: 0x140c08d4, 0x0
dma resource write: 0x140c08d8, 0x0
dma resource write: 0x140c08dc, 0x0
dma resource write: 0x140c08e8, 0x0
dma resource write: 0x140c08ec, 0x0
dma resource write: 0x140c08f0, 0x0
dma resource write: 0x140c08f4, 0x0
dma resource write: 0x140c08f8, 0x0
dma resource write: 0x140c08fc, 0x0
dma resource write: 0x140c0908, 0x0
dma resource write: 0x140c090c, 0x0
dma resource write: 0x140c0910, 0x0
dma resource write: 0x140c0914, 0x0
dma resource write: 0x140c0918, 0x0
dma resource write: 0x140c091c, 0x0
dma resource write: 0x140c0928, 0x0
dma resource write: 0x140c092c, 0x0
dma resource write: 0x140c0930, 0x0
dma resource write: 0x140c0934, 0x0
dma resource write: 0x140c0938, 0x0
dma resource write: 0x140c093c, 0x0
dma resource write: 0x140c0948, 0x0
dma resource write: 0x140c094c, 0x0
dma resource write: 0x140c0950, 0x0
dma resource write: 0x140c0954, 0x0
dma resource write: 0x140c0958, 0x0
dma resource write: 0x140c095c, 0x0
dma resource write: 0x140c0968, 0x0
dma resource write: 0x140c096c, 0x0
dma resource write: 0x140c0970, 0x0
dma resource write: 0x140c0974, 0x0
dma resource write: 0x140c0978, 0x0
dma resource write: 0x140c097c, 0x0
dma resource write: 0x140c0988, 0x0
dma resource write: 0x140c098c, 0x0
dma resource write: 0x140c0990, 0x0
dma resource write: 0x140c0994, 0x0
dma resource write: 0x140c0998, 0x0
dma resource write: 0x140c099c, 0x0
dma resource write: 0x140c09a8, 0x0
dma resource write: 0x140c09ac, 0x0
dma resource write: 0x140c09b0, 0x0
dma resource write: 0x140c09b4, 0x0
dma resource write: 0x140c09b8, 0x0
